,type,title,author,date,price,sales,review_num,review_score
0,[도서],불편한 편의점,김호연,2021년 04월,12600,1397976,379,9.2
1,[도서],원씽 THE ONE THING,게리 켈러,2013년 08월,12600,421068,133,8.7
2,[도서],방구석 미술관,조원재,2018년 08월,15120,92328,357,9.4
3,[도서],인스타 브레인,안데르스 한센,2020년 05월,13500,55128,61,9.1
4,[eBook],원씽,제이 파파산,2013년 08월,10000,33198,5,8.8
5,[eBook],불편한 편의점,김호연,2021년 05월,9800,70002,28,9.4
6,[도서],천 개의 파랑,천선란,2020년 08월,12600,84135,193,9.4
7,[도서],망원동 브라더스,김호연,2013년 07월,11700,65022,58,9.1
8,[도서],선량한 차별주의자,김지혜,2019년 07월,13500,63768,145,8.8
9,[도서],새는 날아가면서 뒤돌아보지 않는다,류시화,2017년 02월,12600,36591,109,9.4
10,[도서],피프티 피플,정세랑,2021년 08월,12600,41577,14,9.8
11,[도서],유령의 마음으로,임선우,2022년 03월,11700,12228,6,9.4
12,[도서],[예스리커버] 천 개의 파랑,천선란,2022년 11월,12600,13344,1,10.0
13,[도서],위로의 미술관,진병관,2022년 08월,16920,24291,64,9.7
14,[도서],말의 품격,이기주,2017년 05월,13050,24819,158,8.7
15,[도서],[예스리커버] 나는 불안할 때 논어를 읽는다,판덩,2022년 03월,16020,39993,159,9.6
16,[도서],나로서 충분히 괜찮은 사람,김재식,2022년 05월,14400,53544,68,9.8
17,[도서],김상욱의 양자 공부,김상욱,2017년 12월,16200,21348,28,8.8
18,[도서],경험의 함정,로빈 M. 호가스,2021년 03월,14850,7335,0,0
19,[도서],모스크바의 신사,에이모 토울스,2018년 06월,16200,17586,111,9.4
20,[도서],숲속의 자본주의자,박혜윤,2021년 06월,13500,17271,82,9.3
21,[도서],두 번째 지구는 없다,타일러 라쉬,2020년 07월,12600,49614,64,9.4
22,[도서],나는 매주 시체를 보러 간다,유성호,2019년 01월,16200,19155,155,9.0
23,[도서],고립의 시대,노리나 허츠,2021년 11월,19800,23394,11,9.7
24,[도서],"나는 풍요로웠고, 지구는 달라졌다",호프 자런,2020년 09월,13950,32319,65,9.6
25,[도서],심리학으로 읽는 그리스 신화,김상준,2016년 03월,12600,11049,25,9.4
26,[도서],그 겨울의 일주일,메이브 빈치,2018년 01월,13320,7683,112,9.0
27,[도서],"빌트, 우리가 지어올린 모든 것들의 과학",로마 아그라왈,2019년 08월,14400,5598,18,8.7
28,[도서],사람은 어떻게 생각하고 배우고 기억하는가,제레드 쿠니 호바스,2020년 03월,15300,33234,61,9.5
29,[도서],여덟 건의 완벽한 살인,피터 스완슨,2022년 04월,14220,16413,105,9.5
30,[도서],의사의 반란,신우섭,2013년 04월,12600,9003,14,9.4
31,[도서],실격당한 자들을 위한 변론,김원영,2018년 06월,14400,18198,44,9.3
32,[도서],연적,김호연,2015년 10월,11700,10416,35,9.1
33,[도서],음식의 언어,댄 주래프스키,2015년 03월,15300,3894,34,8.1
34,[도서],배움의 발견,타라 웨스트오버,2020년 01월,19800,10434,197,9.4
35,[도서],만약은 없다,남궁인,2016년 07월,12600,10665,69,8.7
36,[도서],애착 수업,오카다 다카시,2017년 12월,13500,6168,11,9.6
37,[도서],보이지 않는 것에 의미가 있다,김혜남,2021년 12월,14400,8856,31,9.6
38,[도서],개미와 공작,헬레나 크로닌,2016년 12월,31500,8928,2,8.0
